CustomerID;Count;Country;State;City;Zip Code;Lat Long;Latitude;Longitude;Gender;Senior Citizen;Partner;Dependents;Tenure Months;Phone Service;Multiple Lines;Internet Service;Online Security;Online Backup;Device Protection;Tech Support;Streaming TV;Streaming Movies;Contract;Paperless Billing;Payment Method;Monthly Charges;Total Charges;Churn Label;Churn Value;Churn Score;CLTV;Churn Reason;Churn Reason Category;Churn Reason Category 2
3668-QPYBK;1;United States;California;Los Angeles;90003;33.964131, -118.272783;33964131;-118272783;Male;No;No;No;2;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;5385;10815;Yes;1;86;3239;Competitor made better offer;Competitor Acquisition;Pricing
9237-HQITU;1;United States;California;Los Angeles;90005;34.059281, -118.30742;34059281;-11830742;Female;No;No;Yes;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;707;15165;Yes;1;67;2701;Moved;External;External
9305-CDSKC;1;United States;California;Los Angeles;90006;34.048013, -118.293953;34048013;-118293953;Female;No;No;Yes;8;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;9965;8205;Yes;1;86;5372;Moved;External;External
7892-POOKP;1;United States;California;Los Angeles;90010;34.062125, -118.315709;34062125;-118315709;Female;No;Yes;Yes;28;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;1048;304605;Yes;1;84;5003;Moved;External;External
0280-XJGEX;1;United States;California;Los Angeles;90015;34.039224, -118.266293;34039224;-118266293;Male;No;No;Yes;49;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);1037;50363;Yes;1;89;5340;Competitor had better devices;Competitor Acquisition;User Experience on service / product
4190-MFLUW;1;United States;California;Los Angeles;90020;34.066367, -118.309868;34066367;-118309868;Female;No;Yes;No;10;Yes;No;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Credit card (automatic);552;52835;Yes;1;78;5925;Competitor offered higher download speeds;Competitor Acquisition;User Experience on service / product
8779-QRDMV;1;United States;California;Los Angeles;90022;34.02381, -118.156582;3402381;-118156582;Male;Yes;No;No;1;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;3965;3965;Yes;1;100;5433;Competitor offered more data;Competitor Acquisition;User Experience on service / product
1066-JKSGK;1;United States;California;Los Angeles;90024;34.066303, -118.435479;34066303;-118435479;Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;2015;2015;Yes;1;92;4832;Competitor made better offer;Competitor Acquisition;Pricing
6467-CHFZW;1;United States;California;Los Angeles;90028;34.099869, -118.326843;34099869;-118326843;Male;No;Yes;Yes;47;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;9935;474915;Yes;1;77;5789;Competitor had better devices;Competitor Acquisition;User Experience on service / product
8665-UTDHZ;1;United States;California;Los Angeles;90029;34.089953, -118.294824;34089953;-118294824;Male;No;Yes;No;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;302;302;Yes;1;97;2915;Competitor had better devices;Competitor Acquisition;User Experience on service / product
8773-HHUOZ;1;United States;California;Los Angeles;90032;34.078821, -118.177576;34078821;-118177576;Female;No;No;No;17;Yes;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;647;10931;Yes;1;74;3022;Competitor offered higher download speeds;Competitor Acquisition;User Experience on service / product
6047-YHPVI;1;United States;California;Los Angeles;90039;34.110845, -118.259595;34110845;-118259595;Male;No;No;Yes;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;697;3169;Yes;1;66;2454;Competitor offered higher download speeds;Competitor Acquisition;User Experience on service / product
5380-WJKOV;1;United States;California;Los Angeles;90041;34.137412, -118.207607;34137412;-118207607;Male;No;No;Yes;34;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;10635;354925;Yes;1;65;2941;Competitor offered higher download speeds;Competitor Acquisition;User Experience on service / product
8168-UQWWF;1;United States;California;Los Angeles;90042;34.11572, -118.192754;3411572;-118192754;Female;No;No;Yes;11;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);9785;11054;Yes;1;70;5674;Competitor offered more data;Competitor Acquisition;User Experience on service / product
7760-OYPDY;1;United States;California;Los Angeles;90056;33.987945, -118.370442;33987945;-118370442;Female;No;No;Yes;2;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;8065;14415;Yes;1;90;5586;Competitor offered more data;Competitor Acquisition;User Experience on service / product
9420-LOJKX;1;United States;California;Los Angeles;90061;33.92128, -118.274186;3392128;-118274186;Female;No;No;Yes;15;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);991;14264;Yes;1;82;2966;Competitor offered more data;Competitor Acquisition;User Experience on service / product
7495-OOKFY;1;United States;California;Los Angeles;90063;34.044271, -118.185237;34044271;-118185237;Female;Yes;Yes;Yes;8;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);8065;6333;Yes;1;69;5302;Competitor made better offer;Competitor Acquisition;Pricing
1658-BYGOY;1;United States;California;Los Angeles;90065;34.108833, -118.229715;34108833;-118229715;Male;Yes;No;Yes;18;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;9545;175255;Yes;1;81;3179;Competitor made better offer;Competitor Acquisition;Pricing
5698-BQJOH;1;United States;California;Beverly Hills;90211;34.063947, -118.383001;34063947;-118383001;Female;No;No;Yes;9;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;944;85725;Yes;1;96;5571;Price too high;Pricing;Pricing
5919-TMRGD;1;United States;California;Huntington Park;90255;33.97803, -118.217141;3397803;-118217141;Female;No;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;7935;7935;Yes;1;87;2483;Product dissatisfaction;User Experience on service / product;User Experience on service / product
9191-MYQKX;1;United States;California;Lynwood;90262;33.923573, -118.200669;33923573;-118200669;Female;No;Yes;Yes;7;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);7515;4969;Yes;1;70;3457;Service dissatisfaction;User Experience on service / product;User Experience on service / product
8637-XJIVR;1;United States;California;Marina Del Rey;90292;33.977468, -118.445475;33977468;-118445475;Female;No;No;Yes;12;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;7895;92735;Yes;1;86;5806;Lack of self-service on Website;Customer Support;Customer Support
0278-YXOOG;1;United States;California;Inglewood;90301;33.956445, -118.358634;33956445;-118358634;Male;No;No;No;5;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;2105;11385;Yes;1;66;2604;Network reliability;User Experience on service / product;User Experience on service / product
4598-XLKNJ;1;United States;California;Inglewood;90303;33.936291, -118.332639;33936291;-118332639;Female;Yes;Yes;Yes;25;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;985;25145;Yes;1;88;5337;Limited range of services;Customer Support;Customer Support
3192-NQECA;1;United States;California;Santa Monica;90403;34.031529, -118.491156;34031529;-118491156;Male;No;Yes;No;68;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);1100;761185;Yes;1;86;5034;Lack of affordable download/upload speed;Pricing;Pricing
0486-HECZI;1;United States;California;Torrance;90504;33.867257, -118.330794;33867257;-118330794;Male;No;Yes;Yes;55;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;9675;52389;Yes;1;75;5154;Long distance charges;Pricing;Pricing
4846-WHAFZ;1;United States;California;Whittier;90602;33.972119, -118.020188;33972119;-118020188;Female;Yes;Yes;Yes;37;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;765;286815;Yes;1;67;2793;Extra data charges;Pricing;Pricing
5299-RULOA;1;United States;California;Whittier;90606;33.976678, -118.065875;33976678;-118065875;Female;No;Yes;Yes;10;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;10025;106465;Yes;1;87;5998;Price too high;Pricing;Pricing
0404-SWRVG;1;United States;California;La Habra;90631;33.940619, -117.9513;33940619;-1179513;Male;No;No;Yes;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;744;22955;Yes;1;76;4415;Product dissatisfaction;User Experience on service / product;User Experience on service / product
4412-YLTKF;1;United States;California;Pico Rivera;90660;33.989524, -118.089299;33989524;-118089299;Female;Yes;No;Yes;27;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;7805;21355;Yes;1;95;4638;Service dissatisfaction;User Experience on service / product;User Experience on service / product
6207-WIOLX;1;United States;California;Avalon;90704;33.391181, -118.421305;33391181;-118421305;Female;No;Yes;No;25;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);586;150265;Yes;1;99;4190;Lack of self-service on Website;Customer Support;Customer Support
3091-FYHKI;1;United States;California;Harbor City;90710;33.798266, -118.300237;33798266;-118300237;Male;No;No;No;1;No;No phone service;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;3545;3545;Yes;1;80;2301;Network reliability;User Experience on service / product;User Experience on service / product
2372-HWUHI;1;United States;California;Lakewood;90712;33.840524, -118.148403;33840524;-118148403;Male;No;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;4435;8125;Yes;1;76;2570;Don't know;Don't know;Don't know
0390-DCFDQ;1;United States;California;Los Alamitos;90720;33.79499, -118.065591;3379499;-118065591;Female;Yes;Yes;Yes;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;7045;7045;Yes;1;76;3964;Don't know;Don't know;Don't know
4080-OGPJL;1;United States;California;San Pedro;90731;33.736387, -118.284363;33736387;-118284363;Female;No;No;No;8;Yes;Yes;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;No;Electronic check;7115;56365;Yes;1;66;2662;Don't know;Don't know;Don't know
2135-RXIHG;1;United States;California;Carson;90745;33.822295, -118.26411;33822295;-11826411;Male;No;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;4565;4565;Yes;1;73;2600;Poor expertise of online support;Customer Support;Customer Support
3874-EQOEP;1;United States;California;Long Beach;90804;33.783047, -118.1486;33783047;-1181486;Male;No;No;Yes;7;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Mailed check;950;6555;Yes;1;94;2786;Poor expertise of phone support;Customer Support;Customer Support
0867-MKZVY;1;United States;California;Altadena;91001;34.196837, -118.142236;34196837;-118142236;Female;No;Yes;Yes;20;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;824;159235;Yes;1;86;5719;Price too high;Pricing;Pricing
3376-BMGFE;1;United States;California;Monrovia;91016;34.1528, -118.000482;341528;-118000482;Female;No;No;Yes;4;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);709;2730;Yes;1;75;4287;Product dissatisfaction;User Experience on service / product;User Experience on service / product
3445-HXXGF;1;United States;California;Sierra Madre;91024;34.168686, -118.057505;34168686;-118057505;Male;Yes;Yes;No;58;No;No phone service;DSL;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;453;26512;Yes;1;100;5444;Service dissatisfaction;User Experience on service / product;User Experience on service / product
1875-QIVME;1;United States;California;Tujunga;91042;34.296574, -118.244839;34296574;-118244839;Female;No;Yes;Yes;2;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;1044;2428;Yes;1;83;4690;Lack of self-service on Website;Customer Support;Customer Support
0691-JVSYA;1;United States;California;Pasadena;91103;34.167465, -118.165327;34167465;-118165327;Female;No;Yes;No;53;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);9485;50002;Yes;1;80;4328;Network reliability;User Experience on service / product;User Experience on service / product
2656-FMOKZ;1;United States;California;Pasadena;91106;34.139402, -118.128658;34139402;-118128658;Female;Yes;No;Yes;15;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;7445;11457;Yes;1;99;5717;Limited range of services;Customer Support;Customer Support
2070-FNEXE;1;United States;California;Pasadena;91107;34.159007, -118.087353;34159007;-118087353;Female;Yes;No;Yes;7;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);7645;5036;Yes;1;81;4419;Lack of affordable download/upload speed;Pricing;Pricing
6317-YPKDH;1;United States;California;Glendale;91202;34.167926, -118.267539;34167926;-118267539;Female;No;No;No;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Bank transfer (automatic);2995;2995;Yes;1;95;4534;Long distance charges;Pricing;Pricing
9367-WXLCH;1;United States;California;Glendale;91204;34.136306, -118.26036;34136306;-11826036;Male;No;No;Yes;8;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Bank transfer (automatic);845;66265;Yes;1;86;2152;Extra data charges;Pricing;Pricing
1918-ZBFQJ;1;United States;California;Glendale;91206;34.162515, -118.203869;34162515;-118203869;Female;No;No;Yes;13;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Electronic check;7925;111165;Yes;1;73;5142;Price too high;Pricing;Pricing
1024-GUALD;1;United States;California;Glendale;91207;34.182378, -118.262922;34182378;-118262922;Female;No;Yes;No;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;248;248;Yes;1;94;4851;Product dissatisfaction;User Experience on service / product;User Experience on service / product
2472-OVKUP;1;United States;California;Canoga Park;91304;34.224377, -118.632656;34224377;-118632656;Male;No;Yes;Yes;6;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;910;5310;Yes;1;94;2283;Service dissatisfaction;User Experience on service / product;User Experience on service / product
1285-OKIPP;1;United States;California;Mission Hills;91345;34.266389, -118.459744;34266389;-118459744;Male;No;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Electronic check;799;799;Yes;1;98;3394;Lack of self-service on Website;Customer Support;Customer Support
7825-ECJRF;1;United States;California;Santa Clarita;91350;34.502432, -118.41459;34502432;-11841459;Female;No;No;Yes;19;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;1066;193445;Yes;1;71;3764;Network reliability;User Experience on service / product;User Experience on service / product
7841-TZDMQ;1;United States;California;Sun Valley;91352;34.231053, -118.338307;34231053;-118338307;Male;No;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);460;845;Yes;1;76;2667;Don't know;Don't know;Don't know
9408-SSNVZ;1;United States;California;Stevenson Ranch;91381;34.364153, -118.615583;34364153;-118615583;Female;No;No;Yes;4;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;7015;26835;Yes;1;67;2227;Don't know;Don't know;Don't know
0742-MOABM;1;United States;California;Panorama City;91402;34.223768, -118.445461;34223768;-118445461;Male;No;Yes;No;4;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Mailed check;5005;17935;Yes;1;82;3394;Don't know;Don't know;Don't know
2232-DMLXU;1;United States;California;Van Nuys;91411;34.17847, -118.459472;3417847;-118459472;Female;No;Yes;No;1;Yes;No;DSL;No;No;No;No;Yes;No;Month-to-month;No;Mailed check;552;552;Yes;1;81;3638;Poor expertise of online support;Customer Support;Customer Support
8937-RDTHP;1;United States;California;Burbank;91504;34.213049, -118.317651;34213049;-118317651;Male;No;No;Yes;1;Yes;No;Fiber optic;Yes;No;No;No;No;Yes;Month-to-month;Yes;Mailed check;846;846;Yes;1;66;2484;Poor expertise of phone support;Customer Support;Customer Support
1251-KRREG;1;United States;California;North Hollywood;91601;34.1692, -118.372498;341692;-118372498;Male;No;No;No;2;Yes;Yes;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;544;1141;Yes;1;81;2556;Price too high;Pricing;Pricing
0094-OIFMO;1;United States;California;North Hollywood;91605;34.207295, -118.400022;34207295;-118400022;Female;Yes;No;Yes;11;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;950;11203;Yes;1;85;5980;Product dissatisfaction;User Experience on service / product;User Experience on service / product
9947-OTFQU;1;United States;California;Covina;91722;34.097345, -117.906736;34097345;-117906736;Male;Yes;No;No;15;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;744;10743;Yes;1;86;4616;Service dissatisfaction;User Experience on service / product;User Experience on service / product
0322-YINQP;1;United States;California;Covina;91723;34.084747, -117.886844;34084747;-117886844;Male;No;No;No;1;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;4855;4855;Yes;1;77;5687;Lack of self-service on Website;Customer Support;Customer Support
4629-NRXKX;1;United States;California;El Monte;91731;34.079934, -118.046695;34079934;-118046695;Female;No;Yes;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;704;14715;Yes;1;75;5687;Network reliability;User Experience on service / product;User Experience on service / product
9514-JDSKI;1;United States;California;El Monte;91732;34.074492, -118.01462;34074492;-11801462;Male;Yes;Yes;No;1;No;No phone service;DSL;No;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;402;402;Yes;1;65;5828;Limited range of services;Customer Support;Customer Support
4959-JOSRX;1;United States;California;La Puente;91744;34.031441, -117.936436;34031441;-117936436;Female;No;Yes;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);446;8055;Yes;1;99;4884;Lack of affordable download/upload speed;Pricing;Pricing
